"id","code","name","tag_ids/id","user_type_id/id","chart_template_id/id","reconcile"
"account_0180","0180","Geschäfts-,Fabrik-u.and.BautenimBau","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0189","0189","Anzahlg.aufBautenfremd.Grundstücken","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0190","0190","Wohnbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0191","0191","Garagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0192","0192","Außenanlagen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0193","0193","Hof-undWegebefestigungen","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0194","0194","EinrichtungenfürWohnbauten","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0195","0195","WohnbautenimBau","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0199","0199","Anzahlungena.Wohnbautena.fremd.Gr.","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0200","0200","TechnischeAnlagenundMaschinen","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0210","0210","Maschinen","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0220","0220","MaschinengebundeneWerkzeuge","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0240","0240","MaschinelleAnlagen","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0260","0260","TransportanlagenundÄhnliches","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0280","0280","Betriebsvorrichtungen","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0290","0290","TechnischeAnlagenundMaschinenimBau","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0299","0299","AnzahlungenauftechnischeAnlagen","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0300","0300","Betriebs-undGeschäftsausstattung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0310","0310","AndereAnlagen","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0320","0320","PKW","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0350","0350","LKW","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0380","0380","SonstigeTransportmittel","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0400","0400","Betriebsausstattung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0410","0410","Geschäftsausstattung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0420","0420","Büroeinrichtung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0430","0430","Ladeneinrichtung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0440","0440","Werkzeuge","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0450","0450","Einbauten","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0460","0460","Gerüst-undSchalungsmaterial","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0480","0480","GeringwertigeWirtschaftsgüter","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0485","0485","GeringwertigeWGSammelposten","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0490","0490","SonstigeBetriebs-u.Gesch.ausstattung","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0498","0498","Betriebs-u.Gesch.ausstattungimBau","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0499","0499","AnzahlungBetriebs-u.Gesch.ausstattung","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0500","0500","AnteileanverbundenenUnternehmen","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0501","0501","AnteileanverbundenenUnternehmen,Personengesellschaften","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0502","0502","AnteileanverbundenenUnternehmen,Kapitalgesellschaften","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0503","0503","AnteileanherrschenderodermehrheitlichbeteiligterGesellschaft,Kapitalgesellschaften","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0504","0504","Anteilea.herrschenderGesellschaft","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0505","0505","AusleihungenanverbundeneUnternehmen","l10n_de.tag_de_asset_bs_A_III_2","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0506","0506","AusleihungenanverbundeneUnternehmen,Personengesellschaften","l10n_de.tag_de_asset_bs_A_III_2","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0507","0507","AusleihungenanverbundeneUnternehmen,Kapitalgesellschaften","l10n_de.tag_de_asset_bs_A_III_2","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0508","0508","AusleihungenanverbundeneUnternehmen,Einzelunternehmen","l10n_de.tag_de_asset_bs_A_III_2","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0509","0509","AnteileanherrschenderodermehrheitlichbeteiligterGesellschaft,Personengesellschaften","l10n_de.tag_de_asset_bs_A_III_1","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0510","0510","Beteiligungen","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0513","0513","TypischstilleBeteiligungen","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0516","0516","AtypischestilleBeteiligungen","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0517","0517","BeteiligungenanKapitalgesellschaften","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0518","0518","BeteiligungenanPersonengesellschaften","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0519","0519","BeteiligungGmbHCo.anKomplementärGmbH","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0520","0520","Ausleih.anUNmitBeteiligungsverh.","l10n_de.tag_de_asset_bs_A_III_4","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0523","0523","AusleihungenanUnternehmen,mitdeneneinBeteiligungsverhältnisbesteht,Personengesellschaften","l10n_de.tag_de_asset_bs_A_III_4","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0524","0524","AusleihungenanUnternehmen,mitdeneneinBeteiligungsverhältnisbesteht,Kapitalgesellschaften","l10n_de.tag_de_asset_bs_A_III_4","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0525","0525","WertpapieredesAnlagevermögens","l10n_de.tag_de_asset_bs_A_III_5","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0530","0530","WertpapieremitGewinnbeteil.ansprüch.","l10n_de.tag_de_asset_bs_A_III_5","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0535","0535","FestverzinslicheWertpapiere","l10n_de.tag_de_asset_bs_A_III_5","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0540","0540","SonstigeAusleihungen","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0550","0550","Darlehen","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0570","0570","Genossenschaftsanteilez.lfr.Verbleib","l10n_de.tag_de_asset_bs_A_III_3","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0580","0580","AusleihungenanGesellschafter","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0582","0582","AusleihungenanGmbH-Gesellschafter","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0584","0584","AusleihungenanpersönlichhaftendeGesellschafter","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0586","0586","AusleihungenanKommanditisten","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0590","0590","AusleihungenannahestehendePersonen","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0595","0595","LV-Rückdeckungsansprüchez.lfr.Verbl.","l10n_de.tag_de_asset_bs_A_III_6","account.data_account_type_non_current_assets","l10n_de_skr03.l10n_de_chart_template","False"
"account_0600","0600","Anleihen,nichtkonvertibel","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
