"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_13_01","Λοιπάεπιβατικάαυτοκίνητα","13.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_02","ΑυτοκίνηταΦορτηγά-Ρυμούλκες-ΕιδικήςΧρήσης","13.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_03","Σιδηροδρομικάοχήματα","13.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_04","Πλωτάμέσα","13.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_05","Εναέριαμέσα","13.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_06","Μέσαεσωτερικώνμεταφορών","13.06","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_09","Λοιπάμέσαμεταφοράς","13.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_10","Αυτοκίνηταλεωφορείαεκτόςεκμετάλλευσης","13.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_11","Λοιπάεπιβατικάαυτοκίνηταεκτόςεκμετάλλευσης","13.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_12","ΑυτοκίνηταΦορτηγά-Ρυμούλκες-ΕιδικήςΧρήσηςεκτόςεκμετάλλευσης","13.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_13","Σιδηροδρομικάοχήματαεκτόςεκμετάλλευσης","13.13","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_14","Πλωτάμέσαεκτόςεκμετάλλευσης","13.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_15","Εναέριαμέσαεκτόςεκμετάλλευσης","13.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_16","Μέσαεσωτερικώνμεταφορώνεκτόςεκμετάλλευσης","13.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_19","Λοιπάμέσαμετάφοράςεκτόςεκμετάλλευσης","13.19","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_90","Μεταφορικάμέσα,στοΟΔΔΥ,γιαεκποίηση","13.90","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_99_00","Αποσβεσμένααυτοκίνηταλεωφορεία","13.99.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
